"measurement_no","specimen_no","record_type","n_measured","position","measurement_type","average","min","max"
"26382","13134","mea","1","","length","0.137","",""
"36186","18564","mea","1","","length","207","",""
"36187","18564","mea","1","","circumference","47","",""
"36188","18565","mea","1","","length","551","",""
"36189","18565","mea","1","","circumference","185","",""
"36190","18566","mea","1","","length","608","",""
"36191","18566","mea","1","","circumference","132","",""
"36192","18567","mea","1","","length","517","",""
"36193","18567","mea","1","","circumference","57","",""
"36194","18568","mea","1","","length","519","",""
"36195","18568","mea","1","","circumference","165","",""
"36196","18569","mea","1","","length","608","",""
"36197","18569","mea","1","","circumference","132","",""
"36198","18570","mea","1","","length","874","",""
"36199","18570","mea","1","","circumference","293","",""
"36200","18571","mea","1","","length","747","",""
"36201","18571","mea","1","","circumference","265","",""
"36202","18572","mea","1","","length","620","",""
"36203","18572","mea","1","","circumference","97","",""
"36204","18573","mea","1","","length","981","",""
"36205","18573","mea","1","","circumference","375","",""
"36206","18574","mea","1","","length","848","",""
"36207","18574","mea","1","","circumference","313","",""
"36208","18575","mea","1","","length","734","",""
"36209","18575","mea","1","","circumference","126","",""
"36210","18576","mea","1","","length","884","",""
"36211","18576","mea","1","","circumference","340","",""
"36212","18577","mea","1","","length","757","",""
"36213","18577","mea","1","","circumference","280","",""
"36214","18578","mea","1","","length","680","",""
"36215","18578","mea","1","","circumference","107","",""
"36216","18579","mea","1","","length","908","",""
"36217","18579","mea","1","","circumference","331","",""
"36218","18580","mea","1","","length","701","",""
"36219","18580","mea","1","","circumference","277","",""
"36220","18581","mea","1","","length","783","",""
"36221","18581","mea","1","","circumference","128","",""
"36222","18582","mea","1","","length","899","",""
"36223","18582","mea","1","","circumference","345","",""
"36224","18583","mea","1","","length","848","",""
"36225","18583","mea","1","","circumference","255","",""
"36226","18584","mea","1","","length","872","",""
"36227","18584","mea","1","","circumference","338","",""
"36228","18585","mea","1","","length","743","",""
"36229","18585","mea","1","","circumference","258","",""
"36230","18586","mea","1","","length","670","",""
"36231","18586","mea","1","","circumference","111","",""
"36232","18587","mea","1","","length","596","",""
"36233","18587","mea","1","","circumference","117","",""
"36234","18588","mea","1","","length","884","",""
"36235","18588","mea","1","","circumference","283","",""
"36236","18589","mea","1","","length","815","",""
"36237","18589","mea","1","","circumference","232","",""
"36238","18590","mea","1","","length","681","",""
"36239","18590","mea","1","","circumference","88","",""
"36240","18591","mea","1","","circumference","98","",""
"36241","18591","mea","1","","length","393","",""
"36242","18592","mea","1","","length","787","",""
"36243","18592","mea","1","","circumference","270","",""
"36244","18593","mea","1","","length","830","",""
"36245","18593","mea","1","","circumference","258","",""
"36246","18594","mea","1","","circumference","64","",""
"36247","18594","mea","1","","length","210","",""
"36248","18595","mea","1","","circumference","41","",""
"36249","18595","mea","1","","length","165","",""
"36250","18596","mea","1","","circumference","24","",""
"36251","18596","mea","1","","length","162","",""
"36252","18597","mea","1","","length","433","",""
"36253","18597","mea","1","","circumference","145","",""
"36254","18598","mea","1","","length","472","",""
"36255","18598","mea","1","","circumference","125","",""
"36256","18599","mea","1","","length","427","",""
"36257","18599","mea","1","","circumference","29","",""
"36258","18600","mea","1","","length","326","",""
"36259","18600","mea","1","","circumference","106","",""
"36529","18600","mea","1","","width","31.5","",""
"36260","18601","mea","1","","length","301","",""
"36261","18601","mea","1","","circumference","103","",""
